Aaland Island,K
Afghanistan,J
Albania ,J
Algeria,J
American Samoa,I
Andorra,H
Angola,J
Anguilla,I
Antarctica,K
Antigua and Barbuda,I
Argentina,I
Armenia,J
Aruba,I
Ascension Island (British),K
Australia,I
Austria,H
Azerbaijan,J
Bahamas ,I
Bahrain,D
Bangladesh,D
Barbados,I
Barbuda,I
Belarus,J
Belgium,G
Belize,I
Benin,J
Bermuda,I
Bhutan,D
Bolivia,I
Bonaire,K
Bosnia Herzegovina,J
Botswana,J
Bouvet Island ,K
Brazil,I
British indian Ocean Territory,K
Brunei,C
Bulgaria,H
Burkina Faso,J
Burundi,J
Cambodia,C
Cameroon,J
Canada,E
Canaries Islands,J
Cape Verde,J
Cayman Islands,I
Central African Republic,K
Chad,J
Chile,I
China,C
Christmas Island,K
Cocos (Keeling) Island,K
Colambia,I
Comoros,K
Cook Island,I
Costa Rica,I
Cote D'lvorie,K
Croatia,H
Cuba,K
Curacao,K
Cyprus,D
Czech Republic,J
Democatic Republic of Congo,J
Denmark,H
Djibouti,J
Dominica,I
Dominica Republic,I
East Timor,I
Ecuador,I
Egypt,D
El Salvador,I
Equatorial Geinea,J
Eritrea,J
Estonia,H
Ethiopia,J
Falkland Island (Malvinas),K
Federated States of Moldova,K
Feroe Islands,J
Fiji,I
Finland,H
France,G
French Guyana,I
French Polynesia,I
French Southern Territories,K
Gabon,J
Gambia,J
Georgia,J
Germany,G
Ghana,J
Gibraltar,J
Greece,H
Greenland,J
Grenada,I
Guadeloupe,I
Guam,I
Guatemala,I
Guernsey,K
Guinea,J
Guinea Bissau,J
Guinea-Bissau,K
Guyana,I
Haiti,I
Heard and Mc Donald Island ,K
Honduras,I
Hong Kong,B
Hungary,H
Iceland,J
India,D
Indonesia,C
Iran,J
Iran (Islamic Republic of),K
Iraq,D
Ireland,G
Isle of Man,K
Israel,D
Italy,G
Ivory Coast,J
Jamaica,I
Japan,G
Jersey,K
Jordan,D
Kazakhstan,J
Kenya,J
Kiribati,K
Kosovo,K
Kuwait,D
Kyrgyzstan,J
Lao People's Democratic Republic,K
Laos,C
Latvia,H
Lebanon,D
Lesotho,J
Liberia,J
Libya,J
Liechtenstein,G
Lithuania,H
Luxembourg,G
Macau,B
Macedonia,J
Madagascar,J
Malawi,J
Malaysia,C
Maldives,G
Mali,J
Malta,G
Maritius,J
Marshall Islands,J
Martinique,I
Mauritania,J
Mauritius,J
Mayotte,K
Mexico,I
Micronesia,J
Moldova,J
Monaco,G
Mongolia,J
Montenegro,K
Montserrat,I
Morocca,J
Mozambique,J
Myanmar,J
Namibia,J
Nauru,K
Netherland,G
Netherland Antilles,I
Netherland Antilles,K
New Caledonia,I
New Zealand,I
Nicaragua,I
Niger,J
Nigeria ,J
Niue,K
Norfolk Island ,K
North Korea,K
North Macedonia (FYROM),K
Northen Mariana Islands,K
Norway ,H
Oman,D
Pakistan,D
Palau,J
Palestine,D
Palestinian Territory  Occupied,K
Panama,I
Papua New Guinea,I
Paraguay,I
Peru,I
Phillippines,C
Pitcairn,K
Poland,H
Portugal,H
Puerto Rico,I
Qatar,D
Reunion Island,J
Romania,J
Russia,J
Rwanda,J
Saba,I
Saipan,I
Samoa,K
San Marino,G
Sao Tome and Principle,K
Saudi Arabia,J
Senegal,J
Serbia & Montenegro,J
Seychelles,J
Sierra Leone,J
Singapore,B
Sint Eustatius and Saba,K
Slovak Republic,J
Slovenia,J
Solomon Islands,K
Somalia,K
South Africa,J
South Georgia & South Sandwich Island ,K
South Korea,C
South Sudan,K
Spain,H
Sri Lanka,D
St. Barthelemy,I
St. Helena,K
St. Kitts & Nevis,I
St. Lucia,I
St. Martin (French Part),K
St. Pierre and Miquelon,K
St. Vincent,I
Sudan,J
Suriname,I
Svalbard and Jan mayen Island,K
Swaziland,J
Sweden,H
Switzerland,G
Syria,D
Syrian Arab Republic,K
Taiwan,B
Tajikistan,J
Tanzania,J
Thailand,B
Togo,J
Tokelau,K
Tonga,I
Trinidad & Tobago,I
Tristan da Cunha,K
Tunisia,J
Turkey,D
Turkmenistan,J
Turks & Caicos,I
Tuvalu,K
Uganda,J
Ukraine,J
United Arab Emirates (UAE),A
United Kingdom (UK),F
United States America (USA),E
United States Minor Outlying Island ,K
Uruguay,I
Uzbekistan ,J
Vanuatu,I
Vatican City,J
Venezuela,I
Vietnam,C
Virgin Island (CB),I
Virgin Island (USA),I
Virgin Island Countrys (British),K
Virgin Island Countrys (U.S),K
Wallis & Futuna,I
Western Sahara,K
Yemen,D
Zambia,J
Zimbabwe,J
